Length (m),Beam (m),Draft (m),a_surge,b_surge,c_surge,d_surge,e_surge,f_surge,g_surge,r_squared_surge,a_sway,b_sway,c_sway,d_sway,e_sway,f_sway,g_sway,r_squared_sway,a_heave,b_heave,c_heave,d_heave,e_heave,f_heave,g_heave,r_squared_heave,a_roll,b_roll,c_roll,d_roll,e_roll,f_roll,g_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,d_pitch,e_pitch,f_pitch,g_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,d_yaw,e_yaw,f_yaw,g_yaw,r_squared_yaw
0.4,0.25,-0.03,5.36E-07,-3.56E-05,0.000860697,-0.009046007,0.039592533,-0.143950622,1.182975473,0.99494313,3.35E-10,-2.30E-08,5.80E-07,-6.31E-06,2.44E-05,-1.16E-06,8.82E-05,0.807364404,3.25E-06,-0.000229676,0.006067039,-0.072572669,0.369742462,-0.61493664,1.135261494,0.828640357,1.17E-06,-5.97E-05,0.000749882,0.006348349,-0.17937205,0.849046138,0.332195174,0.756221964,0.004475749,-0.313089036,8.217867553,-98.489792,509.8807106,-783.0846758,129.1859579,0.309634042,4.16E-08,-2.77E-06,6.84E-05,-0.000759335,0.003839785,-0.014110875,0.084986633,0.980399018
0.4,0.25,-0.06,5.15E-07,-3.39E-05,0.000808125,-0.008273987,0.034671222,-0.136905469,1.180846977,0.994737997,3.65E-10,-2.56E-08,6.73E-07,-7.98E-06,3.93E-05,-4.62E-05,2.94E-06,0.859527377,3.41E-06,-0.000234775,0.005989556,-0.068275719,0.321674379,-0.459586686,1.069760828,0.86236393,6.87E-07,-2.98E-05,9.94E-05,0.011555648,-0.181232605,0.752712922,0.260092844,0.73752445,0.000976804,-0.067296247,1.72591409,-19.86999796,94.17878862,-102.4416719,3.988107642,0.679452217,6.17E-08,-4.23E-06,0.000109143,-0.001301123,0.007343,-0.02407173,0.093087133,0.98535302
0.4,0.25,-0.09,4.45E-07,-2.86E-05,0.000656364,-0.006230504,0.022463085,-0.115491022,1.175210525,0.993141146,1.01E-09,-7.24E-08,1.98E-06,-2.55E-05,0.000154132,-0.00037561,0.00031332,0.694406039,5.17E-06,-0.00035355,0.008965777,-0.101712485,0.477919126,-0.647670479,1.072478966,0.608941461,4.62E-06,-0.000302667,0.007198979,-0.072977211,0.256935529,0.072848956,0.135105318,0.392480048,0.001019677,-0.070282495,1.804180457,-20.80945231,99.00791726,-108.7625242,4.474398866,0.687172024,4.93E-08,-3.31E-06,8.26E-05,-0.000932685,0.004866031,-0.017080543,0.085831897,0.986962035
0.4,0.25,-0.12,8.34E-07,-5.83E-05,0.00151738,-0.017823223,0.091890728,-0.248052241,1.211389319,0.997977915,8.65E-10,-6.34E-08,1.79E-06,-2.41E-05,0.000157117,-0.000450743,0.000522444,0.928781706,5.56E-06,-0.000403795,0.011052188,-0.138956078,0.765270519,-1.395901759,1.347849357,0.569162863,8.13E-08,-4.42E-06,6.73E-05,5.97E-05,-0.005720562,-0.022864307,0.454940337,0.977021585,0.000350952,-0.022485372,0.512435868,-4.645416489,8.855563036,57.19668125,-31.69858842,0.665645658,1.11E-07,-7.77E-06,0.000206985,-0.002586829,0.01541346,-0.048533743,0.166693881,0.994044399
0.4,0.25,-0.15,8.71E-07,-5.69E-05,0.001355194,-0.014012309,0.058575421,-0.151965162,1.178914366,0.976125343,2.36E-09,-1.74E-07,4.83E-06,-6.24E-05,0.000359239,-0.000690136,0.000281854,0.250459906,9.11E-07,-6.40E-05,0.001658443,-0.018820517,0.082688135,-0.122217642,1.026967398,0.994680185,2.51E-05,-0.001841239,0.051220769,-0.660746004,3.797062878,-7.207976426,2.51129031,0.26921897,-0.000200985,0.003758787,0.231548406,-7.653401058,70.40539312,-157.865187,54.80510141,0.735755465,1.00E-08,-7.48E-07,2.11E-05,-0.000272879,0.001646489,-0.008508215,0.070748071,0.937350876
0.4,0.3,-0.033333333,6.61E-07,-4.29E-05,0.001006817,-0.010117671,0.040324505,-0.131108354,1.176461716,0.988760447,-6.72E-10,6.23E-08,-2.21E-06,3.76E-05,-0.000303513,0.000901469,0.000222773,0.634239617,1.77E-06,-0.000124902,0.003291216,-0.03889308,0.191198263,-0.316296252,1.074361383,0.960490682,-3.71E-06,0.000332946,-0.011531423,0.19170303,-1.518631521,4.498286246,0.568256132,0.625280197,0.001132634,-0.085905906,2.470835578,-32.89357021,193.0167826,-353.0516736,92.79549354,0.674610745,5.46E-08,-4.21E-06,0.000124672,-0.001770846,0.01234856,-0.042447203,0.100399203,0.953899583
0.4,0.3,-0.066666667,5.32E-07,-3.35E-05,0.000753071,-0.006906213,0.022436376,-0.102666049,1.169588705,0.9881033,-1.08E-08,7.53E-07,-1.99E-05,0.000243604,-0.001324558,0.002062268,0.002711336,0.573101769,2.87E-06,-0.000200095,0.005202421,-0.060930315,0.300720733,-0.485576407,1.103546245,0.875367621,-5.37E-05,0.003759405,-0.099560009,1.224634477,-6.712147322,10.81524493,12.25436133,0.566328039,0.001295094,-0.092637401,2.497771143,-30.91837455,166.3150282,-266.8619625,56.5527726,0.701838638,2.72E-08,-1.94E-06,5.17E-05,-0.000623148,0.003352389,-0.010871083,0.06229097,0.988559156
0.4,0.3,-0.1,6.80E-07,-4.38E-05,0.001020475,-0.010085554,0.039098259,-0.133145244,1.175293042,0.982783386,-1.38E-09,1.01E-07,-2.81E-06,3.75E-05,-0.000234289,0.000506404,0.000341754,0.711687332,3.36E-06,-0.000230522,0.00587182,-0.066949752,0.317166365,-0.46805818,1.079844923,0.867214931,-1.36E-05,0.000985744,-0.02747414,0.363001957,-2.228449337,4.727033266,2.166521117,0.759893882,0.002661218,-0.18544194,4.848492562,-57.8479237,297.3748088,-447.7372082,74.15228227,0.382812561,1.43E-08,-9.87E-07,2.53E-05,-0.000292054,0.001635732,-0.00891457,0.062280707,0.983888288
0.4,0.3,-0.133333333,-1.42E-07,1.35E-05,-0.000486142,0.008045695,-0.055838773,0.01694513,1.148272065,0.957544223,8.53E-10,-6.24E-08,1.75E-06,-2.36E-05,0.000154231,-0.0004324,0.000413854,0.864144122,4.18E-06,-0.000282256,0.007060046,-0.078533563,0.35689547,-0.463920023,1.046296406,0.720920132,-8.97E-07,0.000160111,-0.007820259,0.16195844,-1.509490393,5.259009678,-1.07044185,0.332103881,0.003617522,-0.251407573,6.55328809,-77.93306888,399.5142744,-602.7351666,97.42132299,0.329525875,3.62E-08,-2.55E-06,6.73E-05,-0.000809781,0.00436136,-0.01220993,0.054121898,0.975533814
0.4,0.3,-0.166666667,6.90E-07,-4.51E-05,0.001073895,-0.011036793,0.04564061,-0.136606243,1.178170526,0.988107029,6.17E-10,-4.62E-08,1.33E-06,-1.82E-05,0.000118078,-0.000308651,0.000235392,0.532145036,1.11E-06,-7.82E-05,0.002043442,-0.023601475,0.108733498,-0.169290265,1.03884692,0.99082304,4.95E-06,-0.00035975,0.00989102,-0.12552497,0.703336318,-1.28636117,0.695747727,0.448994299,0.000277332,-0.029384125,1.091126301,-17.83773316,123.5456897,-252.7556811,78.35494662,0.689654407,5.59E-08,-3.74E-06,9.25E-05,-0.001022746,0.004951799,-0.014279835,0.080678602,0.956280865
0.5,0.25,-0.032,6.11E-07,-3.97E-05,0.000935863,-0.009423198,0.037701239,-0.129089479,1.17661637,0.98958988,7.26E-10,-5.04E-08,1.31E-06,-1.57E-05,8.34E-05,-0.000162939,0.000206031,0.818733363,1.88E-06,-0.000131748,0.003435947,-0.040098596,0.193786246,-0.31144712,1.069406632,0.961354066,4.34E-06,-0.000288451,0.007046902,-0.075225485,0.307390658,-0.188276183,0.448608433,0.721765032,0.001476474,-0.109638843,3.085168948,-40.17313859,230.8899749,-417.4112936,106.472479,0.545781419,2.68E-08,-1.81E-06,4.53E-05,-0.000510698,0.002647768,-0.010123178,0.062758633,0.951042044
0.5,0.25,-0.064,4.86E-07,-3.06E-05,0.000681916,-0.006152764,0.019106423,-0.097924443,1.16902337,0.988269073,4.33E-10,-2.81E-08,6.55E-07,-6.29E-06,1.76E-05,2.99E-05,7.36E-05,0.783934711,2.73E-06,-0.00018948,0.004890587,-0.056661874,0.274448766,-0.430978242,1.08755671,0.891269333,1.90E-06,-0.000110698,0.002095843,-0.010337208,-0.084037991,0.652536158,0.352026835,0.746498723,0.001272281,-0.09086191,2.445183262,-30.19355627,161.867593,-258.1079709,54.22049885,0.705848953,5.55E-08,-3.76E-06,9.53E-05,-0.001100473,0.005801817,-0.01666839,0.067628336,0.98215709
0.5,0.25,-0.096,6.15E-07,-3.97E-05,0.000920284,-0.009014609,0.034271519,-0.126203818,1.17449426,0.985404333,3.08E-10,-2.13E-08,5.44E-07,-6.15E-06,2.77E-05,-3.04E-05,0.000102652,0.795114096,3.09E-06,-0.00021127,0.005351054,-0.060442857,0.281139915,-0.403198412,1.064592599,0.886484474,5.43E-07,-1.54E-05,-0.000429574,0.020622737,-0.253846155,0.970322496,0.248717458,0.691181257,0.002149387,-0.149849156,3.919234016,-46.752703,239.854482,-357.0393767,58.83224882,0.426065231,5.10E-08,-3.26E-06,7.66E-05,-0.000802125,0.003761028,-0.011179896,0.057366651,0.91813847
