Length (m),Beam (m),Draft (m),a_surge,b_surge,c_surge,d_surge,r_squared_surge,a_sway,b_sway,c_sway,d_sway,r_squared_sway,a_heave,b_heave,c_heave,d_heave,r_squared_heave,a_roll,b_roll,c_roll,d_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,d_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,d_yaw,r_squared_yaw
0.4,0.3,-0.033333333,4.12E-05,0.002032499,-0.117807908,1.231287156,0.972027263,2.37E-07,-4.61E-06,-4.58E-05,0.000836764,0.441053975,0.000563522,-0.016646685,0.053217203,1.017833563,0.892743765,0.001112101,-0.022920783,-0.17029415,3.550201389,0.404622494,0.410749977,-15.37543795,147.6485213,-127.777332,0.455140672,-8.67E-06,0.000516327,-0.010894002,0.083637036,0.908808644
0.4,0.3,-0.066666667,7.17E-06,0.003455456,-0.133573124,1.242872557,0.972421775,-1.62E-06,7.03E-05,-0.000946643,0.003840414,0.463561515,0.000685776,-0.020584527,0.082629514,1.01313197,0.767127331,-0.007802378,0.338414567,-4.527148489,18.12076707,0.446489699,0.332831481,-12.093214,110.7630942,-72.17158387,0.452129444,5.21E-06,-2.33E-05,-0.004631093,0.061086988,0.979178792
0.4,0.3,-0.1,2.40E-05,0.002996957,-0.131438327,1.240452535,0.963943836,-5.59E-08,4.44E-06,-9.88E-05,0.000647362,0.57810818,0.000699739,-0.02063474,0.076310932,1.046865136,0.734758969,-0.001036215,0.055653429,-0.942190856,4.923065627,0.551676932,0.53377559,-18.98356362,168.190956,-92.08878301,0.212690349,-8.43E-07,0.000199705,-0.006725654,0.062332527,0.981167809
0.4,0.3,-0.133333333,-0.000130296,0.008611221,-0.183177705,1.27420045,0.945781557,-8.27E-08,3.51E-06,-4.78E-05,0.000218193,0.420045713,0.000777318,-0.022910682,0.088925031,1.077940107,0.576864124,0.002157468,-0.062386865,0.253782749,2.413014982,0.166410614,0.690788559,-24.5189088,216.7305804,-118.8545083,0.175840271,5.68E-06,-5.71E-05,-0.003733386,0.052044667,0.960248285
0.4,0.3,-0.166666667,5.79E-05,0.001253137,-0.107898684,1.225610283,0.971076121,7.19E-09,-1.39E-07,-4.30E-06,8.06E-05,0.129354217,0.000453185,-0.013017563,0.024716242,1.035949686,0.950650412,0.001216407,-0.043305373,0.370218377,0.066623576,0.290361549,0.386131238,-15.03958242,152.1018456,-152.042875,0.487462475,2.83E-06,0.000120944,-0.007463582,0.081259823,0.939912207
0.5,0.25,-0.032,4.13E-05,0.002003126,-0.117153441,1.228719912,0.974539389,8.51E-08,-2.41E-06,5.79E-06,0.000158029,0.634657574,0.00055613,-0.016242454,0.047572807,1.029044963,0.888102584,0.000947168,-0.030298706,0.191698858,0.612907896,0.495938132,0.449712113,-16.69077829,158.4764726,-133.7739925,0.351791202,-5.43E-07,0.000177331,-0.006376951,0.062753773,0.944659387
0.5,0.25,-0.064,7.72E-06,0.003394841,-0.132460161,1.24084067,0.974098825,1.34E-07,-4.16E-06,2.27E-05,0.000124126,0.599984394,0.000645176,-0.019054399,0.067643712,1.030068588,0.785729924,0.000672981,-0.019085127,0.060852047,0.962458324,0.524465972,0.323907117,-11.75018474,107.3413777,-68.59345229,0.452808963,-9.07E-07,0.000204487,-0.006952714,0.066033445,0.962651606
0.5,0.25,-0.096,2.33E-05,0.002977863,-0.130654094,1.238586905,0.968570764,9.50E-08,-2.96E-06,1.53E-05,0.000104875,0.68826449,0.000647297,-0.018738303,0.058889157,1.061697748,0.760348138,0.000500369,-0.012932678,0.006276159,0.990402834,0.469602066,0.443678051,-15.78930975,139.8903354,-74.2368943,0.24237005,-7.16E-06,0.000376862,-0.007478325,0.058766498,0.892244995
0.5,0.25,-0.128,-0.000158692,0.009546575,-0.190490734,1.277754668,0.918305431,2.69E-08,-9.15E-07,5.63E-06,3.45E-05,0.212741718,0.000684886,-0.019686629,0.061211754,1.090980598,0.646926529,0.000432855,-0.012024758,0.031485628,0.671234746,0.520012895,0.865279368,-30.71832346,271.8706755,-155.0787556,0.160806296,-4.70E-06,0.00032248,-0.007513598,0.060701573,0.931130668
0.5,0.25,-0.16,6.48E-05,0.001152611,-0.109003723,1.200969125,0.983330438,2.73E-08,-9.54E-07,7.03E-06,1.94E-05,0.158657398,0.001054306,-0.034010192,0.205418097,0.927221965,0.608441814,-0.000247428,0.01198917,-0.185991115,0.91781103,0.985058284,2.101734378,-72.05201378,586.9722504,47.57818106,0.124366581,-5.52E-06,0.000590938,-0.017386537,0.157857312,0.969626555
