Length (m),Beam (m),Draft (m),Heading,Asurge,Bsurge,Csurge,R2surge,MAEsurge,Asway,Bsway,Csway,R2sway,MAEsway,Aheave,Bheave,Cheave,R2heave,MAEheave,Aroll,Broll,Croll,R2roll,MAEroll,Apitch,Bpitch,Cpitch,R2pitch,MAEpitch,Ayaw,Byaw,Cyaw,R2yaw,MAEyaw
0.3,0.15,-0.022222222,-45,0.256029123,0.234878551,0.781561376,0.979074665,0.036130682,0.255494638,0.239648358,0.776861981,0.97403575,0.040934804,-0.46022989,1.088434511,-10,0.543441663,0.284639624,29.97958125,5.92834911,17.07312222,0.986871747,1.006852218,176.8716222,4.247707973,2.169944436,0.988075116,2.953847408,67.05027751,10.36200422,37.32966663,0.979644362,2.951777046
0.3,0.15,-0.022222222,0,0.273097364,0.35377104,1.115299436,0.981095613,0.042077485,0.31072282,6.12E-09,0.000424376,0.775700352,3.49E-05,-0.457763495,1.096443815,-10,0.55275641,0.278315131,1.781930082,-2.351724816,32.34425566,0.99698461,0.014843827,251.4427725,4.265359301,2.235899899,0.980900508,5.759433596,0.139589024,-1.133701731,97.18854307,0.98484833,0.004689604
0.3,0.15,-0.044444444,-180,0.284039575,0.34732245,1.130406089,0.98522055,0.036221943,0.260631151,3.74E-05,0.000103911,0.461628431,3.05E-05,-0.42564038,1.220945198,-10,0.68922633,0.192479063,6.228751023,1.843713162,2.815326137,0.941980659,0.212422288,2039.495573,4.798742781,0.540341542,0.995371022,18.43745926,0.143551412,-1.983538683,99.9733509,0.988073042,0.004181242
0.3,0.15,-0.044444444,-135,0.264492542,0.224825577,0.794669391,0.983705292,0.030775097,0.264874031,0.244302403,0.781761566,0.977237255,0.037756049,-0.42631768,1.216171458,-10,0.684363212,0.195357307,39.12709432,6.857966732,53.56651213,0.680134614,5.4984164,1439.424095,4.798582703,0.540421381,0.994975255,13.00978599,60.45650971,10.03975966,35.80876159,0.978717677,2.695640194
0.3,0.15,-0.044444444,-90,0.999913577,-0.00015035,0.000274556,0.049988039,3.40E-05,0.251185439,0.308517629,1.115102117,0.984853876,0.040298275,-0.426992738,1.211130039,-10,0.679498473,0.198801252,53.04172756,7.876286468,91.2082853,0.551260819,6.661116898,6.213642668,4.739302167,0.599430158,0.986529197,0.064438127,0.150060004,-3.405882977,145.107148,0.991648549,0.00333671
0.3,0.15,-0.044444444,-45,0.264487891,0.224814663,0.794670451,0.983697084,0.030785363,0.264874031,0.244302403,0.781761566,0.977237255,0.037756049,-0.426342453,1.216156291,-10,0.684325935,0.195424912,39.12906114,6.858092227,53.5620346,0.680161026,5.498203684,1439.646343,4.798830135,0.540617915,0.994977275,13.00884266,60.44459423,10.03982756,35.84404726,0.978856617,2.686391846
0.3,0.15,-0.044444444,0,0.284009835,0.347266497,1.130401591,0.985210444,0.036228171,0.260631151,3.74E-05,0.000103911,0.461628431,3.05E-05,-0.425669339,1.220935028,-10,0.68919046,0.192554664,6.228797532,1.843726697,2.815340101,0.941977348,0.212431889,2039.738109,4.798922126,0.540482743,0.995370676,18.43985238,0.143502375,-1.975280756,99.85774874,0.988071161,0.00417693
0.3,0.15,-0.066666667,-180,0.252547932,0.331491968,1.119486279,0.978693457,0.041324218,0.624585808,0.007149816,0.000323717,0.607221805,0.000499278,-0.341845195,0.983449633,-10,0.999154527,0.011469973,29.7965552,2.441845256,0.993278613,0.955423616,0.562760499,1034.569596,8.660015179,3.097489278,0.95828412,37.96576237,0.143580835,-5.034510416,221.2198949,0.913059911,0.008620995
0.3,0.15,-0.066666667,-135,0.245207986,0.247747147,0.771441348,0.975472671,0.038634067,0.255166028,0.269273439,0.76120912,0.961454229,0.049146396,-0.361813318,0.884422878,-10,0.992708043,0.027693546,46.06741691,8.259852927,53.41983709,0.452527263,10.52039979,696.8445892,8.616727358,3.161826142,0.946770198,30.64531063,116.593355,10.55181149,32.48425124,0.993394806,2.894738788
0.3,0.15,-0.066666667,-90,0.999933846,-6.40E-05,6.57E-05,-0.201356853,2.87E-05,0.190545661,0.230084994,1.10353977,0.984484609,0.033351486,-0.385576075,0.798643995,-10,0.94934074,0.079867331,68.1468719,12.5346147,140.4284712,0.311184617,10.85276135,1.099131137,8.595322119,2.620953979,0.852369325,0.075840101,0.161775527,-9.02549715,352.8836251,0.978605419,0.004493589
0.3,0.15,-0.066666667,-45,0.245172598,0.247778744,0.771378297,0.975421991,0.038688687,0.255155524,0.26926066,0.76120617,0.961446516,0.04915678,-0.361717733,0.884361598,-10,0.992746715,0.027594878,46.06769569,8.260498392,53.41610598,0.452406238,10.52426979,698.2856045,8.617940289,3.157865621,0.946925792,30.65131407,116.579387,10.55144004,32.4915973,0.993425649,2.888812103
0.3,0.15,-0.066666667,0,0.252476433,0.331401775,1.119445113,0.978704589,0.04127447,0.624585808,0.007149816,0.000323717,0.607221805,0.000499278,-0.341690285,0.983194197,-10,0.9992012,0.01122901,29.79585843,2.441838925,0.993285483,0.955426604,0.562555481,1036.053127,8.660561656,3.094567337,0.958356994,37.9676966,0.14358622,-5.038534951,221.4566136,0.912743316,0.008628132
0.3,0.15,-0.088888889,-180,0.275830117,0.36187523,1.121754852,0.980294636,0.038190447,0.380141671,0.000210149,0.000194476,0.893233765,2.23E-05,-0.390126616,1.036281463,-10,0.898410196,0.109025597,1.2993138,-1.39205166,39.35745766,0.997300489,0.014098407,700.3649224,6.721956862,2.23339033,0.963658743,25.47418064,0.09993602,-1.900912598,128.1191962,0.98614758,0.003022713
0.3,0.15,-0.088888889,-135,0.257402938,0.249001713,0.778064119,0.977134051,0.038224426,0.265276499,0.264345534,0.772495285,0.968504412,0.044520207,-0.403772053,0.984746581,-10,0.859050719,0.130044684,70.77411316,7.743769653,22.73114344,0.982228095,2.801206842,474.0503508,6.671355931,2.155806594,0.970411375,13.9775312,107.3066709,10.0493115,29.71169961,0.995838419,2.07551881
0.3,0.15,-0.088888889,-90,0.999923536,-6.54E-05,6.59E-05,-0.415805395,2.87E-05,0.2125424,0.250605381,1.11334181,0.987454958,0.033473116,-0.419821039,0.93478136,-10,0.808581786,0.155417976,94.71456427,9.212940059,48.93130785,0.914227291,8.155500063,1.137056617,6.690022365,2.375880977,0.856796811,0.074857432,1.723574559,-67.11320138,1594.209523,0.855493355,0.006350347
0.3,0.15,-0.088888889,-45,0.25738868,0.249012965,0.77803804,0.977106858,0.038254569,0.265268617,0.264331653,0.772497152,0.968507514,0.044515264,-0.403808923,0.984712128,-10,0.858890686,0.130125555,70.77995502,7.74404089,22.73087527,0.982232844,2.801155259,474.6165162,6.672673682,2.156032336,0.970470626,13.98527118,107.2970139,10.04905248,29.71735399,0.99586997,2.068336509
0.3,0.15,-0.088888889,0,0.275789772,0.361819342,1.121736744,0.980289837,0.03817987,0.380141671,0.000210149,0.000194476,0.893233765,2.23E-05,-0.390163239,1.03621854,-10,0.898200861,0.109123604,1.299368731,-1.392626741,39.36463672,0.997293357,0.014103615,701.0378828,6.722859183,2.23308825,0.9637037,25.47904534,0.09992904,-1.90044799,128.1556046,0.986216838,0.003009907
0.3,0.15,-0.111111111,-180,0.293577677,0.38757977,1.123008919,0.980540332,0.038502786,0.213771258,3.65E-08,0.000348704,0.837299053,2.94E-05,-0.428397262,1.102119138,-10,0.661929263,0.204845512,1.120211793,-1.459291494,34.84350461,0.994259643,0.014724932,1006.743991,5.880838489,0.858977762,0.983994601,14.65439421,0.09023027,-1.738035489,108.261882,0.986952479,0.002565932
