Length (m),Beam (m),Draft (m),a_surge,b_surge,c_surge,r_squared_surge,a_sway,b_sway,c_sway,r_squared_sway,a_heave,b_heave,c_heave,r_squared_heave,a_roll,b_roll,c_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,r_squared_yaw
0.5,0.25,-0.16,0.284618348,0.348242359,1.129700692,0.979645839,6.63014778,0.385635138,-0.038563514,0.215685983,0.290628838,0.90642818,0.661309389,0.566146843,0.554784559,0.582782098,0.817819724,0.993125348,0.332495032,1862.193542,-945.7621507,0.148029391,0.230386823,0.020594024,0.159069432,0.964917813
0.5,0.3,-0.04,0.286606027,0.378062957,1.128857084,0.960583885,4.212734936,1.51E-13,-4.38E-14,-0.153846154,0.29580368,0.614020563,0.860140799,0.921329255,0.250837418,0.329613922,0.052590044,0.326182788,0.21131538,186.7788628,-155.1519014,0.250010328,0.283249362,0.019953093,0.059030043,0.954805164
0.5,0.3,-0.066666667,0.290209168,0.379963075,1.126887912,0.982046017,5.21410014,-0.000145004,0.000182939,-0.043478261,0.305316155,0.681019655,0.831897568,0.863645051,0.287074935,0.632678424,-0.047811055,0.260980212,0.235158435,237.2785208,-179.2422988,0.194756137,0.299788147,0.017640654,0.052564124,0.954724526
0.5,0.3,-0.093333333,0.305793795,0.401313546,1.130443262,0.981312613,5.401963523,1.12E-11,-8.34E-13,-0.25,0.312590648,0.747553378,0.802938632,0.788894788,0.328415412,0.565903933,0.087842257,0.514490464,0.257015836,165.6371757,-105.8062708,0.365623326,0.267119616,0.015462817,0.057084541,0.934746986
0.5,0.3,-0.12,0.312591156,0.420235339,1.124147959,0.976637183,5.401963523,1.12E-11,-8.34E-13,-0.25,0.32490104,0.812006353,0.786852273,0.77461292,0.350610005,0.790644841,-0.001888382,0.35318355,0.275078824,224.3035748,-137.3899603,0.232787607,0.255851178,0.008503344,0.065727041,0.958507481
0.5,0.3,-0.146666667,0.342563324,0.431806152,1.150307532,0.968942839,6.200956654,-0.00032043,0.000403863,0.35483871,0.335130969,0.893890326,0.759201381,0.693823524,0.349804307,0.889749612,-0.090201791,0.279302102,0.275455358,635.3865457,-418.0081823,0.125821502,0.3124002,0.015327931,0.050219324,0.945599784
0.5,0.35,-0.045714286,0.305978859,0.413420508,1.130374047,0.964367068,4.532028283,-0.000135523,0.00017087,-0.078431374,0.316922229,0.632716049,0.879802374,0.945985408,0.257640222,0.648242324,0.035802012,0.25928982,0.217054274,145.6771189,-112.016816,0.349966406,0.247479677,0.011381163,0.05109316,0.960717833
0.5,0.35,-0.068571429,0.310692808,0.414779282,1.130758732,0.979656372,0.311473051,0.000122105,5.34E-05,0.603252994,0.322576072,0.685330123,0.855918413,0.900792718,0.342387267,1.048727675,0.150140741,0.511944844,0.235606172,163.5728444,-116.9026335,0.32266397,0.066469524,-0.00219349,0.045163807,0.872622837
0.5,0.35,-0.091428571,0.344278883,0.471126417,1.134749851,0.958282917,0.337906759,0.000164707,4.14E-05,0.565938421,0.326255307,0.738776788,0.82975032,0.835081894,0.391133058,1.404857008,0.224506822,0.568341941,0.244455563,200.5740538,-141.917948,0.218161513,0.231045654,0.009457227,0.036356348,0.839681518
0.5,0.35,-0.114285714,0.336630758,0.457978812,1.131037253,0.975921701,0.388171054,0.000193089,-3.67E-05,0.707944256,0.332490071,0.793646856,0.809359085,0.800589137,0.437300391,1.617296287,0.233412708,0.589589014,0.268056785,156.5860741,-94.39025029,0.371250712,0.068915607,-0.002215111,0.045039206,0.951556822
